date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/17/2023,ARKK,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"7,427,609","$719,883,864.28",9.47%
11/17/2023,ARKK,"ROKU INC",ROKU,77543R102,"7,376,362","$660,184,399.00",8.68%
11/17/2023,ARKK,"TESLA INC",TSLA,88160R101,"2,732,194","$638,213,196.46",8.39%
11/17/2023,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"8,385,731","$531,655,345.40",6.99%
11/17/2023,ARKK,"UIPATH INC - CLASS A",PATH,90364P105,"28,736,723","$517,261,014.00",6.80%
11/17/2023,ARKK,"BLOCK INC",SQ,852234103,"7,957,612","$447,854,403.36",5.89%
11/17/2023,ARKK,"ROBLOX CORP -CLASS A",RBLX,771049103,"8,901,665","$341,467,869.40",4.49%
11/17/2023,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"5,604,992","$331,927,626.24",4.36%
11/17/2023,ARKK,"DRAFTKINGS INC-CL A","DKNG UW",26142V105,"8,378,713","$312,609,782.03",4.11%
11/17/2023,ARKK,"TWILIO INC - A",TWLO,90138F102,"5,022,106","$309,110,624.30",4.06%
11/17/2023,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,"4,017,755","$270,314,556.40",3.55%
11/17/2023,ARKK,"UNITY SOFTWARE INC",U,91332U101,"8,824,547","$255,029,408.30",3.35%
11/17/2023,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"8,200,645","$213,380,782.90",2.81%
11/17/2023,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,"12,371,515","$209,326,033.80",2.75%
11/17/2023,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,"3,180,165","$194,530,693.05",2.56%
11/17/2023,ARKK,"GINKGO BIOWORKS HOLDINGS INC",DNA,37611X100,"131,206,051","$191,560,834.46",2.52%
11/17/2023,ARKK,"PAGERDUTY INC",PD,69553P100,"8,908,006","$188,582,487.02",2.48%
11/17/2023,ARKK,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"22,105,963","$175,521,346.22",2.31%
11/17/2023,ARKK,"BEAM THERAPEUTICS INC",BEAM,07373V105,"6,545,465","$162,262,077.35",2.13%
11/17/2023,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,"19,899,666","$151,038,464.94",1.99%
11/17/2023,ARKK,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"6,892,897","$136,272,573.69",1.79%
11/17/2023,ARKK,"VERACYTE INC",VCYT,92337F107,"4,440,542","$109,725,792.82",1.44%
11/17/2023,ARKK,"10X GENOMICS INC-CLASS A",TXG,88025U109,"2,629,258","$105,012,564.52",1.38%
11/17/2023,ARKK,"ARCHER AVIATION INC-A",ACHR,03945R102,"14,180,264","$88,768,452.64",1.17%
11/17/2023,ARKK,"META PLATFORMS INC-CLASS A",META,30303M102,"218,152","$72,904,216.88",0.96%
11/17/2023,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,"3,808,386","$72,625,921.02",0.95%
11/17/2023,ARKK,"TERADYNE INC",TER,880770102,"559,704","$50,787,540.96",0.67%
11/17/2023,ARKK,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,"567,309","$37,612,586.70",0.49%
11/17/2023,ARKK,"VERVE THERAPEUTICS INC",VERV,92539P101,"2,769,429","$30,408,330.42",0.40%
11/17/2023,ARKK,"RECURSION PHARMACEUTICALS-A",RXRX,75629V104,"4,058,577","$27,070,708.59",0.36%
11/17/2023,ARKK,"CERUS CORP",CERS,157085101,"13,091,170","$22,647,724.10",0.30%
11/17/2023,ARKK,"INVITAE CORP",NVTA,46185L103,"19,800,602","$10,761,627.19",0.14%
11/17/2023,ARKK,"GOLDMAN FS TRSY OBLIG INST 468",,X9USDGSFT,"11,004,123","$11,004,123.03",0.14%
11/17/2023,ARKK,"2U INC",TWOU,90214J101,"6,814,360","$7,632,083.20",0.10%
